,inspection_id,dba_name,license_,facility_type,zip,inspection_date,latitude,longitude,year,category
141740,1387302,lock wood food mart,1646100.0,grocery store,60651.0,2013-12-20,41.90233017044402,-87.75831293619554,2013,Grocery Store
142015,1375666,seamos felices,2179770.0,grocery store,60625.0,2013-11-19,41.968439078876,-87.72008800315973,2013,Grocery Store
143245,1151690,e z food mart,2230594.0,grocery store,60620.0,2013-10-07,41.75019778268168,-87.66721977086333,2013,Grocery Store
145020,1092553,7 eleven  33508c,2064170.0,grocery store,60614.0,2013-08-16,41.9211783836129,-87.66357938528952,2013,Grocery Store
145048,1370070,supermercado el primo,2002523.0,grocery restaurant,60639.0,2013-10-30,41.92214330584142,-87.75962876544102,2013,Grocery Store
148008,1360821,family dollar  10596,2233212.0,grocery store,60641.0,2013-09-10,41.942383513445016,-87.7290108595133,2013,Grocery Store
148261,1305470,relay  4172,1403723.0,grocery store,60638.0,2013-12-13,41.78783563115532,-87.74127655955658,2013,Grocery Store
148518,1235996,montrose chicago cvs  l l c   6785,2279177.0,grocery store,60618.0,2013-09-24,41.96102652561947,-87.7124414111819,2013,Grocery Store
149985,1345672,chicago downtown framstand,1932009.0,grocery store,60601.0,2013-11-18,41.884608470929656,-87.62547447957526,2013,Grocery Store
151076,1319953,a   k b p,1741974.0,grocery store,60637.0,2013-12-06,41.7751408577419,-87.58644197169433,2013,Grocery Store
152632,1072523,food 4 less midwest  552,1596210.0,grocery store,60636.0,2013-09-03,41.76579077043187,-87.66396688645497,2013,Grocery Store
153503,1375878,one stop shop grocery  inc ,2284817.0,grocery store,60643.0,2013-12-05,41.706991857937496,-87.64662641289908,2013,Grocery Store
153570,1376066,olivia s market,1443829.0,grocery store,60647.0,2013-12-16,41.91240363849448,-87.67816498544441,2013,Grocery Store
154396,1115150,trader joe s  701,2060013.0,grocery store,60605.0,2013-11-25,41.867867090171096,-87.62568684119313,2013,Grocery Store
154683,1319986,chatham meat market,2065139.0,grocery store,60619.0,2013-12-20,41.74307143762398,-87.60486143722804,2013,Grocery Store
154693,1375599,del rancho market,2253109.0,grocery store,60707.0,2013-11-22,41.923703157364855,-87.79585329820894,2013,Grocery Store
154698,1319926,medo foods,2298446.0,grocery store,60637.0,2013-11-22,41.78917398251256,-87.61989129248225,2013,Grocery Store
154707,1319940,bp,1998277.0,grocery store,60615.0,2013-11-29,41.80283112007079,-87.58659252529138,2013,Grocery Store
154726,1228390,wing lee co,1739798.0,grocery store,60616.0,2013-12-18,41.85154392394672,-87.63212972989326,2013,Grocery Store
