,inspection_id,dba_name,license_,facility_type,inspection_date,latitude,longitude,year,category
3423,1151450,"PLAY A DEL MAR, INC",2113999.0,restaurant,2013-07-18,41.8455207093247,-87.69538496946204,2013,Restaurant
3424,1329402,HAE WOON DAE RESTAURANT,71540.0,restaurant,2013-07-18,41.99517710134168,-87.69970469303253,2013,Restaurant
3425,1353739,"SODEXO AMERICA, LLC",2271476.0,restaurant,2013-07-18,41.8806992461244,-87.63972502663867,2013,Restaurant
3426,1353732,ANTICA PIZZERIA,2256432.0,restaurant,2013-07-18,41.98511286358866,-87.66895925792126,2013,Restaurant
3427,1353800,LOVING HUT,1248503.0,restaurant,2013-07-18,41.987464806694895,-87.6603343733537,2013,Restaurant
3429,1198961,CARIBOU COFFEE,52556.0,restaurant,2013-07-17,41.92700809602405,-87.64117431057976,2013,Restaurant
3431,1353677,BOMBAY SPICE GRILL,2232110.0,restaurant,2013-07-16,41.8924589403376,-87.62211240129513,2013,Restaurant
3435,1174560,BANH MI & CO.,2271170.0,restaurant,2013-07-12,41.876949124597786,-87.63415934265407,2013,Restaurant
3436,1353548,SULTAN'S MARKET,2031862.0,restaurant,2013-07-09,41.91033293012805,-87.67971585451996,2013,Restaurant
3437,1353637,EL NORTE,2109671.0,restaurant,2013-07-09,41.9835780708531,-87.66022780493213,2013,Restaurant
3440,1155121,HONEY'S CHICKEN & SEAFOOD INCORPORATED,2033070.0,restaurant,2013-07-08,41.76561797259401,-87.56665272988461,2013,Restaurant
3442,1329382,BRYN MAWR CAFE INC,2125031.0,restaurant,2013-07-08,41.9829475216694,-87.71000937031987,2013,Restaurant
3443,1329378,BIJE'S,46328.0,restaurant,2013-07-05,41.95248836107066,-87.81440271000294,2013,Restaurant
3444,1343364,SMOOCHES,2269674.0,restaurant,2013-07-05,41.86985543688609,-87.71382219274976,2013,Restaurant
3446,1353481,MERGUEZ,2183826.0,restaurant,2013-07-03,41.967965811139145,-87.76065245915902,2013,Restaurant
3447,1092488,LAS FUENTES,12575.0,restaurant,2013-07-03,41.9290354100918,-87.64903392789199,2013,Restaurant
3449,1353453,MARIO'S MINI MART,1841629.0,restaurant,2013-07-02,41.651943907653454,-87.54577706930137,2013,Restaurant
3450,1296452,HAROLD'S CHICKEN #5,1679061.0,restaurant,2013-07-02,41.76638853739546,-87.57214812652433,2013,Restaurant
3451,1114898,SOFI LLC,2245298.0,restaurant,2013-07-02,41.87423457984985,-87.62935644330602,2013,Restaurant
3452,1166350,TWO WAY DINER,1221918.0,restaurant,2013-07-01,41.959792501515146,-87.72783183969106,2013,Restaurant
3453,1353414,5 Boroughs Pizza Company,1986511.0,restaurant,2013-07-01,41.91057807884066,-87.6384281113664,2013,Restaurant
3454,1198943,D'S,2196346.0,restaurant,2013-06-28,41.92659311588866,-87.64865397223507,2013,Restaurant
3455,1322567,FISHBAR,2049807.0,restaurant,2013-06-28,41.93616004524838,-87.65412667379472,2013,Restaurant
3456,1151410,NEW ATTITUDE,11629.0,restaurant,2013-06-27,41.75949810088667,-87.66378740806958,2013,Restaurant
3457,1353384,FONTANA GRILL,1891933.0,restaurant,2013-06-27,41.96520168028951,-87.66368369977876,2013,Restaurant
3458,1353428,TRAVELLE,2245371.0,restaurant,2013-06-27,41.88793874358949,-87.62703564148782,2013,Restaurant
3459,1345325,JOHNNY ROCKETS,2036580.0,restaurant,2013-06-18,41.88269466861121,-87.63253142666058,2013,Restaurant
3461,1353278,BURGER GUYS,2263369.0,restaurant,2013-06-24,41.80100543752876,-87.68661612013953,2013,Restaurant
3462,1353269,TAQUERIA LOS AMIGOS,1490260.0,restaurant,2013-06-24,41.80061941881158,-87.71045584912062,2013,Restaurant
3464,1198926,JADE EAST RESTAURANT,66572.0,restaurant,2013-06-20,41.92757677830966,-87.65152817242594,2013,Restaurant
3465,1345335,GOODWIN'S,2263166.0,restaurant,2013-06-20,41.88602541254114,-87.63629770323044,2013,Restaurant
